Real,Simple,Expansiva,Deslizante
58258.48,45670.93599453449,48142.56450661659,48142.56450661659
62941.01,45329.6554882288,47676.69994358301,47676.69994358301
59574.02,43042.367539112565,45524.87139571667,45524.87139571667
55780.25,40956.613076967,58979.67937537432,58979.67937537432
47721.03,33506.832272740605,47081.25746441364,47081.25746441364
37212.37,17701.797892534138,21203.20343803823,21203.20343803823
12912.96,5504.522054402828,4348.910087374597,4348.910087374597
11785.27,6002.880471957028,11178.073128339649,11178.073128339649
37735.1,18002.45601543367,30139.87114778757,30139.87114778757
49927.73,31130.779823383687,46303.35001398802,46303.35001398802
54830.93,38334.0611801362,51894.149287033084,51894.149287033084
56087.05,43830.20481972098,54442.437786192895,54442.437786192895
54014.85,45922.01829212189,56170.83799826622,56170.83799826622
53270.47,45461.464046356676,54903.47829647541,54903.47829647541
51833.97,43045.41634045124,54618.07961723804,54618.07961723804
48681.37,40597.105369746685,47922.7420708561,47922.7420708561
46594.42,32681.317210525274,41097.44840260267,41097.44840260267
33924.54,16519.02313168049,23296.058905833364,23296.058905833364
6280.27,4520.147075852752,7338.288744259626,7338.288744259626
12105.73,5160.753301688134,4921.448446487188,4921.448446487188
39518.68,17001.268248235585,17030.511656012535,17030.511656012535
52047.86,29600.142618650792,30589.90509931326,30589.90509931326
56156.99,36704.00989630938,37560.24066720128,37560.24066720128
55957.46,42367.26644167543,42267.4432829082,42267.4432829082
55823.47,44663.457662549015,45228.55877953529,45228.55877953529
55342.63,44115.32949276209,44944.8581668663,44944.8581668663
53436.95,41657.204469140765,42793.04891521096,42793.04891521096
51468.24,39135.90365069151,52343.658381619454,52343.658381619454
48578.89,31595.61203912854,43011.32379484892,43011.32379484892
37816.01,15946.06652719438,20382.25771858871,20382.25771858871
12333.96,4492.905649967492,4596.865916374028,4596.865916374028
13522.27,5227.538452784419,8674.537366551458,8674.537366551458
40339.63,16912.579003217816,25997.051830017568,25997.051830017568
51502.77,29333.42267166555,40731.7929225564,40731.7929225564
55946.77,36245.416145582196,45573.93008257389,45573.93008257389
54127.49,41706.54488067865,48369.96263481736,48369.96263481736
56436.08,43799.27299348116,50158.941371717454,50158.941371717454
56017.78,43293.457555184366,49040.301427378654,49040.301427378654
52600.36,40750.53340268374,47231.335675120354,47231.335675120354
37213.31,37526.206010231974,49189.85478114605,49189.85478114605
35516.85,29440.58417947769,41383.31019090414,41383.31019090414
24629.18,14313.137213496268,20376.210286059977,20376.210286059977
11652.5,3681.102716494426,4183.724390667378,4183.724390667378
10149.45,4149.442742197216,5845.465359421223,5845.465359421223
33496.28,15036.981504740716,21889.81858458161,21889.81858458161
51090.08,26956.93991680324,36057.972751886846,36057.972751886846
54795.93,34212.82660399556,41090.39370785952,41090.39370785952
54825.66,40328.76454103708,44913.31658035874,44913.31658035874
54393.58,42682.28480480432,47219.93547365904,47219.93547365904
47170.38,42186.41849290133,46388.39999361038,46388.39999361038
54517.38,39623.49574731589,44088.14113145709,44088.14113145709
55146.35,35172.19948194742,46271.56529522181,46271.56529522181
27018.3,26753.19122480929,34429.18729950189,34429.18729950189
7287.03,12305.582576066554,15285.387417861819,15285.387417861819
2691.08,3077.4894979779424,4289.550600678027,4289.550600678027
3376.09,4790.359637029767,7627.157847046107,7627.157847046107
14390.14,15632.080511354208,19844.161648902893,19844.161648902893
9920.78,27030.846334570648,31421.49267913163,31421.49267913163
37619.77,34236.688298523426,38148.70177722931,38148.70177722931
49655.53,40595.835679062606,44542.049762152434,44542.049762152434
36021.89,43045.076727137566,47231.62125904322,47231.62125904322
39572.69,42505.05296597242,46609.18723992109,46609.18723992109
38300.73,39738.115240681174,44506.74927374125,44506.74927374125
35318.21,35705.932678325174,35669.57089830875,35669.57089830875
52889.54,27176.50185371518,28637.798124204277,28637.798124204277
43193.29,12549.59667156309,15001.83345639646,15001.83345639646
16718.09,2947.141663023084,4718.126200756431,4718.126200756431
1083.54,4476.24192454949,4801.150078223348,4801.150078223348
0.0,15481.030736423432,15602.602654613554,15602.602654613554
0.0,27207.81767455399,28244.035783209205,28244.035783209205
0.0,34649.30689691186,35915.58987012863,35915.58987012863
0.0,41227.92166292906,42058.38813288808,42058.38813288808
0.0,43779.71435400724,44188.8133235085,44188.8133235085
0.0,43255.532782076596,43919.03299745798,43919.03299745798
0.0,40531.34388264418,41432.704631832836,41432.704631832836
0.0,37962.72875481248,2798.590265012085,2798.590265012085
0.0,30272.76415297389,3254.2948905466496,3254.2948905466496
239.79,14953.143327169419,1454.0056795664132,1454.0056795664132
1825.32,4222.2565120165045,1082.5502408975362,1082.5502408975362
7359.39,5647.066541928202,4689.555265932977,4689.555265932977
33269.53,17525.21826563418,13516.430429499746,13516.430429499746
46084.74,29975.714421532153,26256.639897415636,26256.639897415636
55721.41,36910.93474463463,37148.10061484575,37148.10061484575
57315.32,42879.90887942552,41106.903545994755,41106.903545994755
56199.33,44924.78238893747,42362.45010740876,42362.45010740876
54669.19,44421.38283625841,43729.08109633207,43729.08109633207
51557.56,41809.83363894224,42925.5482776928,42925.5482776928
53577.32,38795.21746768474,47901.30783967256,47901.30783967256
32925.56,30227.055288347005,39300.03336225152,39300.03336225152
9328.24,14906.408868927658,19068.25714517951,19068.25714517951
4278.21,4003.654561602026,3832.5265967160462,3832.5265967160462
1900.1,4414.678328150958,7601.378591549695,7601.378591549695
29122.77,15229.886690960824,24074.037752239703,24074.037752239703
25471.84,27236.32975593388,39166.19870196819,39166.19870196819
46466.65,34744.981370313166,45053.04430348277,45053.04430348277
56266.55,41205.19072636604,48677.80666669488,48677.80666669488
53944.26,43792.48072720766,50699.17353196144,50699.17353196144
52742.12,43282.89095003843,49928.78388534307,49928.78388534307
43261.93,40870.35515453577,47614.06058342099,47614.06058342099
45608.22,36862.19251563787,39259.01347689867,39259.01347689867
33112.93,28737.821963565944,29400.86485874653,29400.86485874653
18873.39,13690.920276747942,12446.295370762347,12446.295370762347
3437.38,3566.2967734903095,2430.3900971396265,2430.3900971396265
9306.31,5293.819490368217,7127.147191424668,7127.147191424668
40598.54,16866.692613449693,20377.698023928402,20377.698023928402
40935.78,28923.03471526921,32363.552996570466,32363.552996570466
43749.72,36024.2506935358,39123.49618701577,39123.49618701577
22194.37,42059.07121875763,44354.6989902699,44354.6989902699
30473.28,44283.11776592851,46846.22189589739,46846.22189589739
48298.7,43754.100563520195,46089.501685154435,46089.501685154435
56807.96,41025.41178768158,42890.2284930706,42890.2284930706
53768.01,38179.10874652982,47083.11761915445,47083.11761915445
43624.42,29372.528372886776,36221.36534818649,36221.36534818649
8533.1,14515.538065151572,18146.77816639781,18146.77816639781
626.74,3330.796166288853,4911.246539729237,4911.246539729237
