Fecha,Año,Mes,Dia,Recurso,6,7,8,9,10,11,12,13,14,15,16,17,Temperatura_Tt,Viento_Wt,Irradiancia_It,Promedio_Generacion
2019-03-19,2019,3,19,EL PASO,2331.23,4063.99,15963.52,22931.37,33734.39,33199.29,40606.55,33107.17,30181.88,31705.73,15897.16,2206.19,32.925000000000004,5.883333333333333,487.1666666666667,22160.705833333337
2019-03-20,2019,3,20,EL PASO,1592.46,4531.29,22011.42,35106.35,39630.36,39417.28,37473.33,37212.84,32289.57,29942.57,19870.0,2523.08,29.725,7.258333333333333,407.5833333333333,25133.379166666666
2019-03-21,2019,3,21,EL PASO,316.95,3699.47,11666.78,30635.62,26777.98,35659.55,37340.51,39185.25,36476.28,30513.35,14740.59,1080.16,31.71666666666667,5.608333333333333,493.4166666666667,22341.040833333333
2019-03-22,2019,3,22,EL PASO,3029.05,17414.77,25245.44,24761.36,32747.96,35463.64,36703.44,38042.98,22636.25,10670.75,3863.11,459.75,30.808333333333334,4.241666666666666,461.3333333333333,20919.874999999996
2019-03-23,2019,3,23,EL PASO,3479.14,9297.21,27881.02,37751.24,37138.81,40435.94,41136.27,37700.82,34829.1,24641.88,15783.31,2689.9,31.45,9.183333333333334,466.1666666666667,26063.72
2019-03-24,2019,3,24,EL PASO,4449.77,14455.16,29061.62,36152.73,36533.86,38486.57,36419.01,30905.01,32793.32,24067.92,11235.5,2629.33,32.84166666666667,5.333333333333333,500.6666666666667,24765.81666666667
2019-03-25,2019,3,25,EL PASO,4159.02,21992.89,30508.66,34680.28,35241.03,35119.81,35271.11,34267.43,32144.99,29284.88,19732.65,4151.6,33.891666666666666,5.933333333333334,540.25,26379.529166666664
2019-03-26,2019,3,26,EL PASO,3486.26,17455.8,25752.99,24189.92,33021.95,39614.34,41798.62,40425.13,37515.22,30780.99,23850.86,3522.7,33.81666666666667,6.3500000000000005,509.1666666666667,26784.565
2019-03-27,2019,3,27,EL PASO,3975.05,21010.99,31130.32,38605.55,34691.48,32111.4,41232.61,40759.98,36429.32,30118.75,11291.63,2431.09,33.675000000000004,6.508333333333333,529.0833333333334,26982.347500000003
2019-03-28,2019,3,28,EL PASO,3574.25,13154.95,32833.71,38563.76,40186.7,41748.2,41107.29,34396.18,31647.42,23558.99,16703.4,4051.81,33.300000000000004,6.266666666666667,490.75,26793.888333333336
2019-03-29,2019,3,29,EL PASO,0.0,0.0,18176.68,43195.41,44343.68,45538.4,40883.28,36926.14,30066.86,22804.34,9739.08,683.34,31.075,5.558333333333334,478.6666666666667,24363.10083333334
2019-03-30,2019,3,30,EL PASO,3189.41,10371.22,21899.67,39142.97,50622.52,48174.64,49806.31,47317.42,48545.8,34341.57,26534.38,7521.64,30.6,6.3,460.5,32288.962499999998
2019-03-31,2019,3,31,EL PASO,5869.64,28052.81,38932.31,48710.48,52970.19,53043.95,51223.75,44588.84,44676.78,36698.81,18847.58,2241.51,32.675000000000004,5.6000000000000005,497.1666666666667,35488.05416666667
2019-04-01,2019,4,1,EL PASO,1120.62,4048.54,9024.66,11870.03,25165.57,40590.91,44825.96,32071.76,40662.55,16624.31,2656.74,466.29,29.441666666666663,7.191666666666666,351.25,19093.995000000003
2019-04-02,2019,4,2,EL PASO,2768.62,7669.1,27783.44,41301.28,38915.33,36568.27,32932.03,30139.71,35756.69,13939.93,5315.99,1143.37,31.191666666666663,6.3500000000000005,399.5,22852.813333333335
2019-04-03,2019,4,3,EL PASO,8364.0,27025.17,41878.23,47660.95,50532.74,51349.85,51337.94,50039.59,45810.63,43879.42,32059.94,1892.54,33.18333333333333,15.175,576.1666666666666,37652.58333333333
2019-04-04,2019,4,4,EL PASO,4072.91,25438.5,48526.58,51282.54,52337.31,50464.26,52784.84,50526.86,45187.72,43087.69,31572.48,6211.28,33.80833333333333,12.633333333333333,584.0833333333334,38457.747500000005
2019-04-05,2019,4,5,EL PASO,9530.17,38077.41,48802.82,51440.15,50936.38,48350.53,46903.53,43773.36,40157.39,38705.32,33885.36,7341.24,33.725,7.991666666666667,560.3333333333334,38158.63833333333
2019-04-06,2019,4,6,EL PASO,10301.17,38221.43,49675.25,53804.35,55881.98,56562.79,54016.48,55407.88,53001.95,48178.47,31735.38,6188.65,34.34166666666667,5.491666666666667,553.3333333333334,42747.98166666667
2019-04-08,2019,4,8,EL PASO,5194.15,27458.05,42688.83,49764.58,53059.37,53462.21,52950.34,44926.17,40265.62,28824.88,12162.53,7034.06,33.30833333333333,7.375,499.0,34815.89916666667
2019-04-09,2019,4,9,EL PASO,7321.21,30420.23,44495.0,45245.46,47848.53,50484.11,49706.77,46468.89,44584.04,26915.04,6469.97,1984.6,32.94166666666667,5.716666666666666,461.3333333333333,33495.320833333324
2019-04-10,2019,4,10,EL PASO,2136.38,13954.87,16320.79,43404.47,43709.11,38484.77,40003.54,36814.47,4154.55,8.72,2456.77,4212.1,30.425,5.5,446.0833333333333,20471.711666666666
2019-04-11,2019,4,11,EL PASO,353.28,2437.31,5823.67,10541.13,22097.56,26371.44,51590.26,41579.97,22667.32,25081.6,23266.79,3841.09,29.21666666666667,4.483333333333333,361.1666666666667,19637.618333333336
2019-04-12,2019,4,12,EL PASO,7895.25,28555.91,46820.9,52038.19,53151.22,52902.03,52601.63,43801.52,43625.35,25281.2,15624.35,4628.28,32.49166666666667,5.075,538.6666666666666,35577.152500000004
2019-04-13,2019,4,13,EL PASO,8063.18,23922.58,41903.52,53520.78,55009.94,49236.93,54923.3,54465.93,44778.54,36303.65,20558.79,4099.06,33.44166666666667,5.516666666666667,513.25,37232.18333333333
2019-04-14,2019,4,14,EL PASO,3147.28,21514.95,39203.9,34163.64,51621.85,33394.24,41453.73,41234.35,41471.11,37600.68,17513.96,1576.99,32.375,5.108333333333333,441.25,30324.72333333333
2019-04-15,2019,4,15,EL PASO,5200.17,31845.92,41520.13,37998.04,28935.49,45798.58,47890.45,44635.73,37990.33,34918.11,29464.92,5899.04,30.60833333333333,3.891666666666667,427.4166666666667,32674.742499999997
2019-04-16,2019,4,16,EL PASO,10078.38,37048.16,51868.41,57471.5,57268.24,57434.34,51759.41,51948.03,50510.27,48911.73,23958.56,2975.67,32.166666666666664,9.083333333333334,559.8333333333334,41769.39166666667
2019-04-17,2019,4,17,EL PASO,12184.21,28375.07,48868.95,59579.22,59799.04,38664.79,46891.85,54148.54,45802.81,44692.72,20202.45,1811.62,32.84166666666667,6.625,518.4166666666666,38418.43916666666
2019-04-18,2019,4,18,EL PASO,4207.08,9443.71,33356.6,53275.25,46979.75,33949.33,38640.47,47538.61,33062.6,18157.22,4202.56,474.58,30.9,6.491666666666666,459.3333333333333,26940.646666666667
2019-04-19,2019,4,19,EL PASO,10833.98,38278.55,49626.96,54030.81,54624.57,43333.62,32431.62,23865.14,52389.11,44668.48,7018.77,0.0,31.541666666666668,6.683333333333334,497.25,34258.4675
