Mes,Irradiancia_It_mean,Irradiancia_It_std,Temperatura_Tt_mean,Temperatura_Tt_std,Humedad_Ht_mean,Humedad_Ht_std,Viento_Wt_mean,Viento_Wt_std,kWh_Total
2021-03,474.9676388888889,291.504938478514,34.22827777777778,4.146219787935381,35.62438888888889,12.99123714364567,4.6477,1.9056279758055357,10984154.64
2021-04,457.228908045977,286.1954834092884,34.49330459770115,3.842761787411691,40.1057183908046,12.132958889457395,4.7603793103448275,2.0943547656802264,10063997.95
2021-05,459.70744444444443,273.00079244555724,35.55102777777778,4.070497468014106,37.156305555555555,11.625229525560982,5.1224,2.0327307746547283,8729961.54
2021-06,441.2320277777778,259.99612182033553,34.77144444444444,3.7513299587347055,39.112944444444445,12.077014227164941,4.4505,1.9058867126773007,8806818.64
2021-07,483.892311827957,283.89946975040334,36.07997311827957,4.27606505379524,35.942553763440856,13.747690173440713,6.027677419354839,2.368864156998779,12267631.25
2021-08,468.1016666666667,281.2340252089354,34.258682795698924,3.809005945472023,42.303897849462366,13.92190376501602,5.142774193548387,2.0197792312389224,10396302.54
2021-09,464.27911111111115,283.9871198201077,33.845,4.1189532028739,44.239444444444445,14.669076173732858,4.1343,1.8178115708080926,10305327.77
2021-10,420.1862365591398,261.97396387748097,32.708091397849465,3.865161257900554,49.505349462365594,15.537109793654704,4.597354838709678,1.925746715649196,11067156.94
2021-11,419.77658333333335,269.07782830842774,33.67066666666667,4.515988137488707,41.903055555555554,16.858346604800886,3.648,1.6038988152220668,12225603.21
2021-12,424.6018817204301,266.54269988442496,34.23852150537634,4.0780725478754976,36.82462365591398,13.146721650452614,3.968032258064516,1.6802026443796385,12752245.4
2022-01,460.9011021505376,282.61072917413196,34.62825268817204,4.401131918925232,31.538602150537635,11.427934219295034,4.753064516129032,1.8242053444400375,13895797.19
2022-02,466.5917261904762,287.9728606045586,34.97035714285715,4.270594267131482,32.10934523809524,12.217757037717428,4.809,1.8835164699405507,12850733.51
2022-03,457.44747311827956,280.3356756239917,34.34922043010753,4.138540139345316,38.48852150537634,14.181448825845525,4.870741935483871,2.0158716662358813,13779468.56
2022-04,429.7019827586207,253.86371239446,31.714137931034482,4.174657397245729,55.85850574712643,18.626808329364206,4.942862068965518,1.8896230853139275,12980938.93
2022-05,445.29027777777776,277.12792568780014,31.44130555555556,3.490152037293373,59.74613888888889,16.98665361181335,4.1783,1.6230439709004572,12125130.86
