Año,Mes,Recurso,6,7,8,9,10,11,12,13,14,15,16,17,Total_Generacion,Temperatura_Tt,Viento_Wt,Irradiancia_It
2021,5,EL PASO,4308.114,14662.987333333333,26363.012666666666,32158.799333333332,35846.093,38080.119333333336,37699.004,34260.592,29954.93133333333,22637.198666666667,12357.360333333334,2670.5060000000003,290998.71800000005,30.47416666666667,5.2363888888888885,459.21666666666664
2021,6,EL PASO,5177.972,15898.787,25666.308,31853.707,33713.631,35813.04433333334,35764.45,35000.168333333335,31657.154333333332,25198.668666666665,14762.166333333333,3054.5643333333333,293560.6213333334,29.769444444444446,4.230555555555556,428.40277777777777
2021,7,EL PASO,6673.677096774193,22474.42580645161,34026.47935483871,41044.36709677419,44672.43838709678,46885.95516129032,49251.936451612906,45620.42741935484,42396.602258064515,34216.93419354838,22723.782258064515,5743.014838709677,395730.04032258067,31.51290322580645,5.8865591397849455,469.62634408602156
2021,8,EL PASO,4852.09870967742,15397.707096774193,23462.571612903226,34069.43838709678,40044.24193548387,42366.50064516129,40557.66741935484,39971.11064516129,37778.69387096774,33202.82258064516,19781.338064516127,3880.407096774193,335364.5980645161,29.049193548387095,4.432258064516129,431.83333333333337
2021,9,EL PASO,4673.717000000001,15683.080666666667,25792.834333333336,35077.60566666666,40356.63033333333,43232.666333333334,42674.278000000006,42946.185333333335,38949.441333333336,32301.814333333336,18776.722333333335,3045.95,343510.92566666665,29.28388888888889,3.837777777777778,461.43888888888887
2021,10,EL PASO,5915.890322580645,20010.021612903227,30261.27129032258,37876.47258064516,42496.57451612903,44194.579032258065,45660.82161290322,44910.86225806452,40409.14258064516,30998.75806451613,13410.298387096775,860.3703225806452,357005.06258064514,28.440322580645162,4.031451612903226,428.4005376344086
2021,11,EL PASO,7013.35,27946.055666666667,39434.05233333333,45199.780666666666,48428.227666666666,50616.235,49203.66366666667,45944.272333333334,42826.81066666667,35556.87233333333,14767.222666666667,583.5640000000001,407520.10699999996,28.723055555555554,4.223888888888889,448.33888888888885
2021,12,EL PASO,4761.922258064516,27352.967419354838,42679.55612903226,47986.58290322581,49800.53580645162,48232.081612903225,48264.88612903226,45979.97193548387,42478.297419354836,35180.920967741935,17491.136451612903,1153.895806451613,411362.75483870966,31.180913978494623,6.968548387096774,460.747311827957
2022,1,EL PASO,2303.07,26869.913225806453,45944.00516129032,50527.54612903226,51806.4435483871,51636.22645161291,52247.01741935484,50100.61258064516,47112.50516129032,41805.23064516129,24394.550322580642,3504.4016129032257,448251.5222580645,32.62016129032258,7.219892473118279,491.44354838709677
2022,2,EL PASO,2636.1917857142857,25900.785357142857,44690.220357142854,52357.599285714285,54375.875,53115.803928571426,52981.52428571428,50518.02857142857,47311.356785714284,41031.20035714286,28455.432857142856,5580.749642857142,458954.7682142857,33.12321428571429,11.2125,508.1488095238095
2022,3,EL PASO,4663.756774193548,25626.231612903222,39436.155806451614,48402.01225806451,51418.237096774195,53720.98774193549,54262.75161290323,52096.11,47305.84935483871,40525.644838709675,22478.486129032255,4562.7625806451615,444498.98580645164,31.72741935483871,7.358870967741935,497.9327956989248
2022,4,EL PASO,6929.146551724138,23640.05448275862,41378.49275862069,49816.35172413793,53983.65344827586,54374.13103448276,53329.39586206897,50971.63724137931,47089.38344827587,38248.05586206897,23401.92551724138,4456.3558620689655,447618.58379310346,29.419540229885055,5.280459770114942,456.0
2022,5,EL PASO,9061.556666666667,23130.689000000002,33810.01533333333,40672.579999999994,44706.592333333334,49293.023,49726.449,49202.258,44914.208,33626.176,21451.212333333333,4576.269,404171.0286666667,28.860555555555553,3.7583333333333333,443.9527777777778
2022,6,EL PASO,5204.713999999999,17458.478333333333,29445.751,36608.265666666666,40500.06966666667,43723.746999999996,44413.52566666667,43777.71466666667,41427.679000000004,35788.172666666665,20746.643333333333,5674.22,364768.98099999997,27.529166666666665,4.038055555555555,425.01666666666665
2022,7,EL PASO,8047.526774193549,26448.536774193548,38978.40387096774,46711.75129032258,48956.220322580644,50058.03967741936,50425.44516129032,46794.11,44852.9435483871,38260.61612903226,23622.11870967742,7175.120967741936,430330.8332258065,28.95779569892473,4.511290322580645,480.63440860215053
2022,8,EL PASO,5586.326451612903,19978.587741935484,32598.79129032258,40987.35387096774,45525.16548387097,50295.98903225806,51460.26806451613,48914.12096774193,43605.310000000005,38018.63806451613,21973.685483870966,4935.384838709677,403879.62129032257,28.544623655913977,4.029569892473118,464.0456989247312
2022,9,EL PASO,5361.252666666667,19662.129,31530.333333333332,42437.793,47335.403000000006,46537.479999999996,49469.081666666665,47861.54366666667,44954.248,34470.798,19343.377666666664,3101.3633333333332,392064.80333333334,27.891944444444444,3.984722222222222,438.38055555555553
2022,10,EL PASO,5362.089354838709,19225.159677419353,30012.150967741934,37345.94903225806,42475.37580645161,45725.85032258065,44576.87806451613,45496.52322580645,44283.815161290324,34621.489677419355,15887.964516129034,936.3674193548387,365949.61322580645,27.5513440860215,4.001881720430108,418.8225806451613
2022,11,EL PASO,6057.405,23459.707,34946.376000000004,42080.73333333333,42834.496666666666,43614.10433333334,44487.670333333335,44318.26433333333,39163.047666666665,27000.551333333333,9974.765666666668,289.6046666666667,358226.72633333335,27.556388888888886,4.679722222222222,409.4472222222222
2022,12,EL PASO,4870.290322580645,31334.921290322578,47546.50096774194,51045.30935483871,51149.74,50881.2335483871,50686.11677419355,49009.470645161295,46243.95129032258,40471.56774193548,21506.399032258065,1300.4351612903224,446045.9361290322,29.54596774193548,6.763440860215053,482.4086021505376
2023,1,EL PASO,2379.5716666666663,25520.966333333334,44578.98033333333,47165.72233333333,48892.670666666665,48794.324,48412.85433333333,45910.935333333335,41883.81433333333,38824.492,26605.273999999998,3818.0559999999996,422787.66133333335,30.014999999999997,7.679444444444444,481.5527777777778
