Fecha,Recurso,Tipo Generación,Combustible,Código Agente,Tipo Despacho,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,Version
2019-02-06 00:00:00,EL PASO,SOLAR,RAD SOLAR,ENDG,DESPACHADO CENTRALMENTE,0.0,0.0,0.0,0.0,0.0,0.0,380.66,2548.58,2901.28,2892.52,2882.16,4171.32,5906.07,8044.41,7811.51,7527.97,7271.01,2040.66,0.0,0.0,0.0,0.0,0.0,0.0,TX4
2019-02-07 00:00:00,EL PASO,SOLAR,RAD SOLAR,ENDG,DESPACHADO CENTRALMENTE,0.0,0.0,0.0,0.0,0.0,0.0,889.08,6933.99,10510.72,12271.73,12967.86,13146.8,13951.95,14046.48,13494.16,11962.53,9961.87,2650.93,0.0,0.0,0.0,0.0,0.0,0.0,TX4
2019-02-08 00:00:00,EL PASO,SOLAR,RAD SOLAR,ENDG,DESPACHADO CENTRALMENTE,0.0,0.0,0.0,0.0,0.0,0.0,1157.82,10382.56,18243.6,19892.99,20027.28,19971.62,19930.38,20341.34,20232.93,18295.44,11321.58,2690.83,0.0,0.0,0.0,0.0,0.0,0.0,TX4
2019-02-09 00:00:00,EL PASO,SOLAR,RAD SOLAR,ENDG,DESPACHADO CENTRALMENTE,0.0,0.0,0.0,0.0,0.0,0.0,1316.97,10386.48,16364.65,14133.46,8773.28,7247.02,7773.76,7768.34,7763.67,7762.6,7574.76,2983.73,0.0,0.0,0.0,0.0,0.0,0.0,TX4
2019-02-10 00:00:00,EL PASO,SOLAR,RAD SOLAR,ENDG,DESPACHADO CENTRALMENTE,0.0,0.0,0.0,0.0,0.0,0.0,1408.49,7397.81,7935.97,7578.22,7483.93,7453.29,7429.94,7414.45,7407.84,7404.79,6768.64,2358.42,0.0,0.0,0.0,0.0,0.0,0.0,TX4
2019-02-11 00:00:00,EL PASO,SOLAR,RAD SOLAR,ENDG,DESPACHADO CENTRALMENTE,0.0,0.0,0.0,0.0,0.0,0.0,1462.48,7015.46,7467.04,8460.43,20614.13,22445.48,20616.66,19452.51,18404.1,12031.49,7442.75,2248.08,0.0,0.0,0.0,0.0,0.0,0.0,TX4
2019-02-12 00:00:00,EL PASO,SOLAR,RAD SOLAR,ENDG,DESPACHADO CENTRALMENTE,0.0,0.0,0.0,0.0,0.0,0.0,1623.47,9465.13,16459.42,24463.58,24479.97,24835.15,24345.06,23853.95,22907.81,19874.24,12520.9,3092.53,0.0,0.0,0.0,0.0,0.0,0.0,TX4
2019-02-13 00:00:00,EL PASO,SOLAR,RAD SOLAR,ENDG,DESPACHADO CENTRALMENTE,0.0,0.0,0.0,0.0,0.0,0.0,1286.86,9693.16,18664.65,23841.39,28205.2,30024.35,29884.85,28245.54,24975.74,20719.44,11370.66,3108.57,0.0,0.0,0.0,0.0,0.0,0.0,TX4
2019-02-14 00:00:00,EL PASO,SOLAR,RAD SOLAR,ENDG,DESPACHADO CENTRALMENTE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11228.69,30679.9,29029.22,29951.4,24438.18,19391.9,9668.32,1658.06,0.0,0.0,0.0,0.0,0.0,0.0,TX4
2019-02-15 00:00:00,EL PASO,SOLAR,RAD SOLAR,ENDG,DESPACHADO CENTRALMENTE,0.0,0.0,0.0,0.0,0.0,0.0,549.53,5515.68,13913.79,21469.63,25978.95,25778.26,29376.96,27514.82,26369.02,17207.19,10114.92,1927.88,0.0,0.0,0.0,0.0,0.0,0.0,TX4
